"Astro Aqp4","OPC Pdgfra","Oligo 98Rik","Oligo Opalin2","Micro Ctss","Endo Xdn","SMC Myl9"
"Tcf7l2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd9",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Aqp4",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cxcl14",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gja1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gfap",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"F3",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sox9",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Olig1",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Pdgfra",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cspg4",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Pcdh15",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gria3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9630013A20Rik",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Brca1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Enpp6",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Fyn",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Rnf122",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Mbp",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Mag",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Mog",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Opalin",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Itgam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Ctss",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Cx3cr1",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"C1qb",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Gpr34",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Flt1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Id1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Xdh",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Tbc1d4",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Exosc7",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"Myl9",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Crip1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bgn",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Vtn",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
